"","SITE","OBS_YEAR","DATE_","ANALYSIS_YEAR","new_MIN_DEPTH_M","new_MAX_DEPTH_M","LATITUDE","LONGITUDE","DEPTH_BIN","New","Percent"
"55","SWA-00008",2015,"2/18/2015","2015",13,19,-11.04571,-171.077,"Mid","Total Coral",82.5278806
"56","SWA-00008",2015,"2/18/2015","2015",13,19,-11.04571,-171.077,"Mid","CCA",1.858736
"57","SWA-00008",2015,"2/18/2015","2015",13,19,-11.04571,-171.077,"Mid","UPMA",4.0892194
"58","SWA-00008",2015,"2/18/2015","2015",13,19,-11.04571,-171.077,"Mid","TURF",8.550186
"59","SWA-00008",2015,"2/18/2015","2015",13,19,-11.04571,-171.077,"Mid","EMA",2.60223
"60","SWA-00008",2015,"2/18/2015","2015",13,19,-11.04571,-171.077,"Mid","Other",0.3717472
"61","SWA-00010",2012,"3/22/2012","2012",11,18,-11.06280813,-171.07021356,"Mid","Total Coral",24.4299674267101
"62","SWA-00010",2012,"3/22/2012","2012",11,18,-11.06280813,-171.07021356,"Mid","CCA",10.0977198697068
"63","SWA-00010",2012,"3/22/2012","2012",11,18,-11.06280813,-171.07021356,"Mid","UPMA",36.8078175895765
"64","SWA-00010",2012,"3/22/2012","2012",11,18,-11.06280813,-171.07021356,"Mid","TURF",5.21172638436482
"65","SWA-00010",2012,"3/22/2012","2012",11,18,-11.06280813,-171.07021356,"Mid","EMA",23.4527687296417
"66","SWA-00010",2012,"3/22/2012","2012",11,18,-11.06280813,-171.07021356,"Mid","Other",0
"67","SWA-00016",2012,"3/21/2012","2012",12,13,-11.050833,-171.092233,"Mid","Total Coral",41.9708029197081
"68","SWA-00016",2012,"3/21/2012","2012",12,13,-11.050833,-171.092233,"Mid","CCA",16.7883211678832
"69","SWA-00016",2012,"3/21/2012","2012",12,13,-11.050833,-171.092233,"Mid","UPMA",23.3576642335766
"70","SWA-00016",2012,"3/21/2012","2012",12,13,-11.050833,-171.092233,"Mid","TURF",8.39416058394161
"71","SWA-00016",2012,"3/21/2012","2012",12,13,-11.050833,-171.092233,"Mid","EMA",9.48905109489051
"72","SWA-00016",2012,"3/21/2012","2012",12,13,-11.050833,-171.092233,"Mid","Other",0
"73","SWA-00016",2015,"2/19/2015","2015",12,13,-11.05079,-171.0922,"Mid","Total Coral",56.2043775
"74","SWA-00016",2015,"2/19/2015","2015",12,13,-11.05079,-171.0922,"Mid","CCA",10.21898
"75","SWA-00016",2015,"2/19/2015","2015",12,13,-11.05079,-171.0922,"Mid","UPMA",14.2335735
"76","SWA-00016",2015,"2/19/2015","2015",12,13,-11.05079,-171.0922,"Mid","TURF",9.8540145
"77","SWA-00016",2015,"2/19/2015","2015",12,13,-11.05079,-171.0922,"Mid","EMA",6.569343
"78","SWA-00016",2015,"2/19/2015","2015",12,13,-11.05079,-171.0922,"Mid","Other",2.919708
"79","SWA-00040",2015,"2/18/2015","2015",15.23926,15.23926,-11.05261,-171.0647,"Mid","Total Coral",16.2361618
"80","SWA-00040",2015,"2/18/2015","2015",15.23926,15.23926,-11.05261,-171.0647,"Mid","CCA",14.76015
"81","SWA-00040",2015,"2/18/2015","2015",15.23926,15.23926,-11.05261,-171.0647,"Mid","UPMA",14.7601437
"82","SWA-00040",2015,"2/18/2015","2015",15.23926,15.23926,-11.05261,-171.0647,"Mid","TURF",32.47232
"83","SWA-00040",2015,"2/18/2015","2015",15.23926,15.23926,-11.05261,-171.0647,"Mid","EMA",21.40221
"84","SWA-00040",2015,"2/18/2015","2015",15.23926,15.23926,-11.05261,-171.0647,"Mid","Other",0.3690037
"85","SWA-00061",2012,"3/22/2012","2012",3.5,6,-11.06693823,-171.08316025,"Shallow","Total Coral",50.7042253521127
"86","SWA-00061",2012,"3/22/2012","2012",3.5,6,-11.06693823,-171.08316025,"Shallow","CCA",24.2957746478873
"87","SWA-00061",2012,"3/22/2012","2012",3.5,6,-11.06693823,-171.08316025,"Shallow","UPMA",11.2676056338028
"88","SWA-00061",2012,"3/22/2012","2012",3.5,6,-11.06693823,-171.08316025,"Shallow","TURF",6.69014084507042
"89","SWA-00061",2012,"3/22/2012","2012",3.5,6,-11.06693823,-171.08316025,"Shallow","EMA",6.69014084507042
"90","SWA-00061",2012,"3/22/2012","2012",3.5,6,-11.06693823,-171.08316025,"Shallow","Other",0.352112676056338
"91","SWA-00063",2012,"3/21/2012","2012",7.5,9.8,-11.0478487,-171.08708214,"Mid","Total Coral",33.2214765100672
"92","SWA-00063",2012,"3/21/2012","2012",7.5,9.8,-11.0478487,-171.08708214,"Mid","CCA",12.751677852349
"93","SWA-00063",2012,"3/21/2012","2012",7.5,9.8,-11.0478487,-171.08708214,"Mid","UPMA",2.68456375838926
"94","SWA-00063",2012,"3/21/2012","2012",7.5,9.8,-11.0478487,-171.08708214,"Mid","TURF",35.9060402684564
"95","SWA-00063",2012,"3/21/2012","2012",7.5,9.8,-11.0478487,-171.08708214,"Mid","EMA",14.0939597315436
"96","SWA-00063",2012,"3/21/2012","2012",7.5,9.8,-11.0478487,-171.08708214,"Mid","Other",1.34228187919463
"97","SWA-00064",2012,"3/22/2012","2012",10,21,-11.06835519,-171.07888615,"Mid","Total Coral",22.9166666666666
"98","SWA-00064",2012,"3/22/2012","2012",10,21,-11.06835519,-171.07888615,"Mid","CCA",13.5416666666667
"99","SWA-00064",2012,"3/22/2012","2012",10,21,-11.06835519,-171.07888615,"Mid","UPMA",35.4166666666666
"100","SWA-00064",2012,"3/22/2012","2012",10,21,-11.06835519,-171.07888615,"Mid","TURF",7.29166666666666
"101","SWA-00064",2012,"3/22/2012","2012",10,21,-11.06835519,-171.07888615,"Mid","EMA",20.1388888888889
"102","SWA-00064",2012,"3/22/2012","2012",10,21,-11.06835519,-171.07888615,"Mid","Other",0.694444444444444
"103","SWA-00065",2012,"3/21/2012","2012",3,6,-11.04747101,-171.08569192,"Shallow","Total Coral",49.3197278911564
"104","SWA-00065",2012,"3/21/2012","2012",3,6,-11.04747101,-171.08569192,"Shallow","CCA",28.2312925170068
"105","SWA-00065",2012,"3/21/2012","2012",3,6,-11.04747101,-171.08569192,"Shallow","UPMA",4.08163265306122
"106","SWA-00065",2012,"3/21/2012","2012",3,6,-11.04747101,-171.08569192,"Shallow","TURF",7.48299319727891
"107","SWA-00065",2012,"3/21/2012","2012",3,6,-11.04747101,-171.08569192,"Shallow","EMA",9.86394557823129
"108","SWA-00065",2012,"3/21/2012","2012",3,6,-11.04747101,-171.08569192,"Shallow","Other",1.02040816326531
"109","SWA-00067",2012,"3/21/2012","2012",5.8,7,-11.05266611,-171.09213509,"Shallow","Total Coral",22.3728813559322
"110","SWA-00067",2012,"3/21/2012","2012",5.8,7,-11.05266611,-171.09213509,"Shallow","CCA",53.5593220338983
"111","SWA-00067",2012,"3/21/2012","2012",5.8,7,-11.05266611,-171.09213509,"Shallow","UPMA",0.677966101694915
"112","SWA-00067",2012,"3/21/2012","2012",5.8,7,-11.05266611,-171.09213509,"Shallow","TURF",19.3220338983051
"113","SWA-00067",2012,"3/21/2012","2012",5.8,7,-11.05266611,-171.09213509,"Shallow","EMA",2.71186440677966
"114","SWA-00067",2012,"3/21/2012","2012",5.8,7,-11.05266611,-171.09213509,"Shallow","Other",1.35593220338983
"115","SWA-00069",2012,"3/23/2012","2012",5,7,-11.04598029,-171.07703936,"Shallow","Total Coral",27.054794520548
"116","SWA-00069",2012,"3/23/2012","2012",5,7,-11.04598029,-171.07703936,"Shallow","CCA",28.7671232876712
"117","SWA-00069",2012,"3/23/2012","2012",5,7,-11.04598029,-171.07703936,"Shallow","UPMA",14.041095890411
"118","SWA-00069",2012,"3/23/2012","2012",5,7,-11.04598029,-171.07703936,"Shallow","TURF",13.6986301369863
"119","SWA-00069",2012,"3/23/2012","2012",5,7,-11.04598029,-171.07703936,"Shallow","EMA",15.4109589041096
"120","SWA-00069",2012,"3/23/2012","2012",5,7,-11.04598029,-171.07703936,"Shallow","Other",1.02739726027397
"121","SWA-00071",2012,"3/23/2012","2012",3,7,-11.04956497,-171.06747,"Shallow","Total Coral",4.7945205479452
"122","SWA-00071",2012,"3/23/2012","2012",3,7,-11.04956497,-171.06747,"Shallow","CCA",31.5068493150685
"123","SWA-00071",2012,"3/23/2012","2012",3,7,-11.04956497,-171.06747,"Shallow","UPMA",15.4109589041096
"124","SWA-00071",2012,"3/23/2012","2012",3,7,-11.04956497,-171.06747,"Shallow","TURF",27.7397260273973
"125","SWA-00071",2012,"3/23/2012","2012",3,7,-11.04956497,-171.06747,"Shallow","EMA",18.8356164383562
"126","SWA-00071",2012,"3/23/2012","2012",3,7,-11.04956497,-171.06747,"Shallow","Other",1.71232876712329
"127","SWA-00073",2012,"3/21/2012","2012",4,5.8,-11.04695896,-171.08489446,"Shallow","Total Coral",37.4999999999999
"128","SWA-00073",2012,"3/21/2012","2012",4,5.8,-11.04695896,-171.08489446,"Shallow","CCA",32.6388888888889
"129","SWA-00073",2012,"3/21/2012","2012",4,5.8,-11.04695896,-171.08489446,"Shallow","UPMA",4.51388888888888
"130","SWA-00073",2012,"3/21/2012","2012",4,5.8,-11.04695896,-171.08489446,"Shallow","TURF",11.4583333333333
"131","SWA-00073",2012,"3/21/2012","2012",4,5.8,-11.04695896,-171.08489446,"Shallow","EMA",12.1527777777778
"132","SWA-00073",2012,"3/21/2012","2012",4,5.8,-11.04695896,-171.08489446,"Shallow","Other",1.73611111111111
"133","SWA-00074",2012,"3/21/2012","2012",22,32,-11.046276,-171.08007898,"Deep","Total Coral",37.2822299651568
"134","SWA-00074",2012,"3/21/2012","2012",22,32,-11.046276,-171.08007898,"Deep","CCA",11.8466898954704
"135","SWA-00074",2012,"3/21/2012","2012",22,32,-11.046276,-171.08007898,"Deep","UPMA",21.602787456446
"136","SWA-00074",2012,"3/21/2012","2012",22,32,-11.046276,-171.08007898,"Deep","TURF",12.1951219512195
"137","SWA-00074",2012,"3/21/2012","2012",22,32,-11.046276,-171.08007898,"Deep","EMA",16.7247386759582
"138","SWA-00074",2012,"3/21/2012","2012",22,32,-11.046276,-171.08007898,"Deep","Other",0.348432055749129
"139","SWA-00075",2012,"3/23/2012","2012",2.7432,5.4864,-11.05977153,-171.06668671,"Shallow","Total Coral",43.205574912892
"140","SWA-00075",2012,"3/23/2012","2012",2.7432,5.4864,-11.05977153,-171.06668671,"Shallow","CCA",12.1951219512195
"141","SWA-00075",2012,"3/23/2012","2012",2.7432,5.4864,-11.05977153,-171.06668671,"Shallow","UPMA",23.6933797909408
"142","SWA-00075",2012,"3/23/2012","2012",2.7432,5.4864,-11.05977153,-171.06668671,"Shallow","TURF",5.57491289198606
"143","SWA-00075",2012,"3/23/2012","2012",2.7432,5.4864,-11.05977153,-171.06668671,"Shallow","EMA",14.6341463414634
"144","SWA-00075",2012,"3/23/2012","2012",2.7432,5.4864,-11.05977153,-171.06668671,"Shallow","Other",0.696864111498258
"145","SWA-00077",2012,"3/21/2012","2012",2.07264,2.1336,-11.05514799,-171.09166293,"Shallow","Total Coral",10.738255033557
"146","SWA-00077",2012,"3/21/2012","2012",2.07264,2.1336,-11.05514799,-171.09166293,"Shallow","CCA",33.8926174496644
"147","SWA-00077",2012,"3/21/2012","2012",2.07264,2.1336,-11.05514799,-171.09166293,"Shallow","UPMA",0.335570469798658
"148","SWA-00077",2012,"3/21/2012","2012",2.07264,2.1336,-11.05514799,-171.09166293,"Shallow","TURF",53.3557046979866
"149","SWA-00077",2012,"3/21/2012","2012",2.07264,2.1336,-11.05514799,-171.09166293,"Shallow","EMA",1.67785234899329
"150","SWA-00077",2012,"3/21/2012","2012",2.07264,2.1336,-11.05514799,-171.09166293,"Shallow","Other",0
"151","SWA-00078",2012,"3/23/2012","2012",3,7,-11.06779964,-171.07767027,"Shallow","Total Coral",49.8245614035088
"152","SWA-00078",2012,"3/23/2012","2012",3,7,-11.06779964,-171.07767027,"Shallow","CCA",16.140350877193
"153","SWA-00078",2012,"3/23/2012","2012",3,7,-11.06779964,-171.07767027,"Shallow","UPMA",10.5263157894737
"154","SWA-00078",2012,"3/23/2012","2012",3,7,-11.06779964,-171.07767027,"Shallow","TURF",7.71929824561404
"155","SWA-00078",2012,"3/23/2012","2012",3,7,-11.06779964,-171.07767027,"Shallow","EMA",14.7368421052632
"156","SWA-00078",2012,"3/23/2012","2012",3,7,-11.06779964,-171.07767027,"Shallow","Other",1.05263157894737
"157","SWA-00079",2012,"3/22/2012","2012",1,6.5,-11.06293302,-171.08745614,"Shallow","Total Coral",72.0136518771332
